Code,Title,Description,Extension
goods,Goods and supplies,The primary object of this contracting process involves physical or electronic goods or supplies.,OCDS Core
works,Works,"The primary object of this contracting process involves construction, repair, rehabilitation, demolition, restoration or maintenance of some asset or infrastructure.",OCDS Core
services,Services,"The primary object of this contracting process involves professional services of some form, generally contracted for on the basis of measurable outputs or deliverables.",OCDS Core
