Code,Title,Description,Extension
percentageExact,"Weight (percentage, exact)",The number is an exact percentage. The numbers must add up to 100.,Award criteria breakdown
percentageRangeMiddle,"Weight (percentage, middle of a range)",The weighting is expressed as a range of percentages. The sum of the minima must be less than or equal to 100. The sum of the maxima must be equal to or greater than 100.,Award criteria breakdown
decimalExact,"Weight (decimal, exact)",The number is an exact finite decimal proper fraction. The numbers must add up to 1.,Award criteria breakdown
decimalRangeMiddle,"Weight (decimal, middle of a range)",The weighting is expressed as a range of finite decimal proper fractions. The sum of the minima must be less than or equal to 1. The sum of the maxima must be equal to or greater than 1.,Award criteria breakdown
pointsExact,"Weight (points, exact)",The weighting is expressed as an exact number of points.,Award criteria breakdown
pointsRangeMiddle,"Weight (points, middle of a range)",The weighting is expressed as a range of numbers of points.,Award criteria breakdown
order,Order of importance,The number indicates an order of importance.,Award criteria breakdown
