Code,Title,Description,Extension
ordinary,Ordinary voting rights,The shareholder is entitled to a single vote per share in all circumstances,Shareholders
none,No voting rights,The shareholder is not entitled to vote under any circumstances,Shareholders
restricted,Restricted voting rights,The shareholder is entitled to vote in specific circumstances only,Shareholders
additional,Additional voting rights,The shareholder is entitled to more than one vote per share in all circumstances,Shareholders
enhanced,Enhanced voting rights,The shareholder is entitled to more than one vote per share in specific circumstances only,Shareholders
