Code,Title,Description,Extension
micro,Micro,"This a micro enterprise, according to the definitions used by the procuring entity or buyer.",Organization scale
sme,Small or medium enterprise,"This is a Small or Medium Enterprise (SME), according to the definitions used by the procuring entity or buyer.",Organization scale
small,Small,"This is a small enterprise, according to the definitions used by the procuring entity or buyer.",Organization scale
medium,Medium,"This is a medium enterprise, according to the definitions used by the procuring entity or buyer.",Organization scale
large,Large,"This is a large enterprise, according to the definitions used by the procuring entity or buyer.",Organization scale
selfEmployed,Self-employed individual,"This is a self-employed natural person, also known as a sole trader.",Organization scale
