Code,Title,Description,Extension
priceOnly,Price Only,The award will be made to the qualified bid with the lowest price.,OCDS Core
costOnly,Cost Only,"The award will be made to the qualified bid demonstrating the lowest overall cost. A cost assessment could cover the entire monetary implications of the proposal, including the price paid to the supplier and the running costs, switching costs or other non-price costs of choosing a particular option.",OCDS Core
qualityOnly,Quality Only,"The award will be made to the qualified bid demonstrating the highest quality against some assessment method. The price is either fixed, or with a maximum set and price factors not included in the evaluation.",OCDS Core
ratedCriteria,Rated Criteria,"The award will be made to the qualified bid demonstrating the highest score against a set of weighted criteria such as price, cost and quality (including, for example, the environmental and social impact of the procurement). Structured information on individual qualifying criteria can be provided with the requirements extension.",OCDS Core
