Code,Title,Description,Extension
ocid,Open Contracting ID,An open contracting process identifier (ocid).,OCDS Core
eu-notice-id-ref,eForms versioned notice identifier,An eForms notice identifier (UUID) concatenated with the associated version identifier (2 digits) in the form {UUID}-{vv}.,European Union
eu-ojs-notice-id,Official Journal of the European Union notice identifier,"An Official Journal of the European Union notice identifier, also known as a Notice Publication ID in eForms.",European Union
