Code,Title,Description,Extension
economic,Economic,The criterion relates to the economic or financial standing of the tenderer.,Selection Criteria
technical,Technical,The criterion relates to the technical or professional ability of the tenderer.,Selection Criteria
suitability,Suitability,The criterion relates to the suitability of the tenderer (e.g. enrolment in trade register or membership of professional organization).,Selection Criteria
other,Other,The criterion relates to other aspects of the tenderer.,Selection Criteria
